Mineral Name,Country of Type Locality
Mixite,Czech Republic
Molybdite,Czech Republic
Babánekite,Czech Republic
Nickelzippeite,Czech Republic
Novákite,Czech Republic
Ondru?ite,Czech Republic
Oxycalciopyrochlore,Czech Republic
Paddlewheelite,Czech Republic
Parascorodite,Czech Republic
Parauranophane,Czech Republic
Paxite,Czech Republic
Permingeatite,Czech Republic
Pertoldite,Czech Republic
Petrovicite,Czech Republic
Pet?í?ekite,Czech Republic
Phosphowalpurgite,Czech Republic
Plavnoite,Czech Republic
Poubaite,Czech Republic
Po?epn?ite,Czech Republic
Pseudojohannite,Czech Republic
Pyrolusite,Czech Republic
Pyrope,Czech Republic
Písekite-(Y),Czech Republic
P?íbramite,Czech Republic
Radvaniceite,Czech Republic
Rosick?ite,Czech Republic
Rossmanite,Czech Republic
Rostite,Czech Republic
Sabatierite,Czech Republic
Agricolaite,Czech Republic
Schr?ckingerite,Czech Republic
Bellidoite,Czech Republic
Sejkoraite-(Y),Czech Republic
Sekaninaite,Czech Republic
Slavkovite,Czech Republic
Slavíkite,Czech Republic
Smrkovecite,Czech Republic
Sou?ekite,Czech Republic
Beraunite,Czech Republic
Stangersite,Czech Republic
Staro?eskéite,Czech Republic
Sternbergite,Czech Republic
Stibioústale?ite,Czech Republic
Stromeyerite,Czech Republic
Svornostite,Czech Republic
Tetrarooseveltite,Czech Republic
Torbernite,Czech Republic
Tschermigite,Czech Republic
Tvrd?ite,Czech Republic
Uraninite,Czech Republic
Vajdakite,Czech Republic
Vav?ínite,Czech Republic
Veselovsk?ite,Czech Republic
Voglite,Czech Republic
Vysok?ite,Czech Republic
Zeophyllite,Czech Republic
Zippeite,Czech Republic
Znucalite,Czech Republic
Zoubekite,Czech Republic
Zv?stovite-(Zn),Czech Republic
Zálesíite,Czech Republic
Z?kaite,Czech Republic
?echite,Czech Republic
?ejkaite,Czech Republic
?likite,Czech Republic
?reinite,Czech Republic
?těpite,Czech Republic
?venekite,Czech Republic
Bou?kaite,Czech Republic
Brassite,Czech Republic
Braunerite,Czech Republic
Bukovite,Czech Republic
Bukovsk?ite,Czech Republic
Bytízite,Czech Republic
Bílinite,Czech Republic
Albrechtschraufite,Czech Republic
Běhounekite,Czech Republic
Cacoxenite,Czech Republic
Calciopetersite,Czech Republic
Carpholite,Czech Republic
Acanthite,Czech Republic
Guite,Democratic Republic of Congo
Saléeite,Democratic Republic of the Congo / Germany
Gallite,Democratic Republic of the Congo / Namibia
Combeite,Democratic Republic of the Congo
Comblainite,Democratic Republic of the Congo
Cornetite,Democratic Republic of the Congo
Cousinite,Democratic Republic of the Congo
Cuprosklodowskite,Democratic Republic of the Congo
Curite,Democratic Republic of the Congo
Althupite,Democratic Republic of the Congo
Delhayelite,Democratic Republic of the Congo
Demesmaekerite,Democratic Republic of the Congo
Derriksite,Democratic Republic of the Congo
Dewindtite,Democratic Republic of the Congo
Dumontite,Democratic Republic of the Congo
Eylettersite,Democratic Republic of the Congo
Florencite-(La),Democratic Republic of the Congo
Fourmarierite,Democratic Republic of the Congo
Fran?oisite-(Nd),Democratic Republic of the Congo
Andrémeyerite,Democratic Republic of the Congo
Gauthierite,Democratic Republic of the Congo
Anthoinite,Democratic Republic of the Congo
Guilleminite,Democratic Republic of the Congo
Gysinite-(Nd),Democratic Republic of the Congo
G?tzenite,Democratic Republic of the Congo
Hydropyrochlore,Democratic Republic of the Congo
Ianthinite,Democratic Republic of the Congo
Julienite,Democratic Republic of the Congo
Kamitugaite,Democratic Republic of the Congo
Kamotoite-(Y),Democratic Republic of the Congo
Kasolite,Democratic Republic of the Congo
Kipushite,Democratic Republic of the Congo
Kirschsteinite,Democratic Republic of the Congo
Kitagohaite,Democratic Republic of the Congo
Kobokoboite,Democratic Republic of the Congo
Kolwezite,Democratic Republic of the Congo
Lepersonnite-(Gd),Democratic Republic of the Congo
Lepersonnite-(Nd),Democratic Republic of the Congo
Likasite,Democratic Republic of the Congo
Luberoite,Democratic Republic of the Congo
Ludjibaite,Democratic Republic of the Congo
Lueshite,Democratic Republic of the Congo
Astrocyanite-(Ce),Democratic Republic of the Congo
Marthozite,Democratic Republic of the Congo
Masuyite,Democratic Republic of the Congo
Metasaléeite,Democratic Republic of the Congo
Metaschoepite,Democratic Republic of the Congo
Metastudtite,Democratic Republic of the Congo
Metavandendriesscheite,Democratic Republic of the Congo
Metavanmeersscheite,Democratic Republic of the Congo
Moreauite,Democratic Republic of the Congo
Mundite,Democratic Republic of the Congo
Oosterboschite,Democratic Republic of the Congo
Orthocuproplatinum,Democratic Republic of the Congo
Oursinite,Democratic Republic of the Congo
Paraschoepite,Democratic Republic of the Congo
Parsonsite,Democratic Republic of the Congo
Pendevilleite-(Y),Democratic Republic of the Congo
Phuralumite,Democratic Republic of the Congo
Piretite,Democratic Republic of the Congo
Protasite,Democratic Republic of the Congo
Rankamaite,Democratic Republic of the Congo
Ranunculite,Democratic Republic of the Congo
Renardite,Democratic Republic of the Congo
Renierite,Democratic Republic of the Congo
Richetite,Democratic Republic of the Congo
Roubaultite,Democratic Republic of the Congo
Becquerelite,Democratic Republic of the Congo
Sayrite,Democratic Republic of the Congo
Schoepite,Democratic Republic of the Congo
Schuilingite-(Nd),Democratic Republic of the Congo
Sengierite,Democratic Republic of the Congo
Shabaite-(Nd),Democratic Republic of the Congo
Sharpite,Democratic Republic of the Congo
Shinkolobweite,Democratic Republic of the Congo
Sklodowskite,Democratic Republic of the Congo
Soddyite,Democratic Republic of the Congo
Stilleite,Democratic Republic of the Congo
Studtite,Democratic Republic of the Congo
Swamboite-(Nd),Democratic Republic of the Congo
Thoreaulite,Democratic Republic of the Congo
Threadgoldite,Democratic Republic of the Congo
Triangulite,Democratic Republic of the Congo
Trikalsilite,Democratic Republic of the Congo
Bijvoetite-(Y),Democratic Republic of the Congo
Upalite,Democratic Republic of the Congo
Urancalcarite,Democratic Republic of the Congo
Billietite,Democratic Republic of the Congo
Vaesite,Democratic Republic of the Congo
Vandenbrandeite,Democratic Republic of the Congo
Vandendriesscheite,Democratic Republic of the Congo
Vanmeersscheite,Democratic Republic of the Congo
Varlamoffite,Democratic Republic of the Congo
Verbeekite,Democratic Republic of the Congo
Wakefieldite-(Ce),Democratic Republic of the Congo
Wyartite,Democratic Republic of the Congo
Za?rite,Democratic Republic of the Congo
Zincobriartite,Democratic Republic of the Congo
Briartite,Democratic Republic of the Congo
Buttgenbachite,Democratic Republic of the Congo
Cattierite,Democratic Republic of the Congo
Cesplumtantite,Democratic Republic of the Congo
Lévyne-Ca,Denmark (Faroe Islands)
Potassic-arfvedsonite,Denmark (Greenland) / Russia
Vitusite-(Ce),Denmark (Greenland) / Russia
Cordylite-(Ce),Denmark (Greenland)
Cryolite,Denmark (Greenland)
Cryolithionite,Denmark (Greenland)
Cuprostibite,Denmark (Greenland)
Dyrnaesite-(La),Denmark (Greenland)
Elpidite,Denmark (Greenland)
Emeleusite,Denmark (Greenland)
Epididymite,Denmark (Greenland)
Epistolite,Denmark (Greenland)
Eskimoite,Denmark (Greenland)
Eudialyte,Denmark (Greenland)
Fergusonite-(Y),Denmark (Greenland)
Acuminite,Denmark (Greenland)
Ancylite-(Ce),Denmark (Greenland)
Gearksutite,Denmark (Greenland)
Gustavite,Denmark (Greenland)
Hydrokenoralstonite,Denmark (Greenland)
Arcubisite,Denmark (Greenland)
Ikaite,Denmark (Greenland)
Illoqite-(Ce),Denmark (Greenland)
Ilímaussite-(Ce),Denmark (Greenland)
Arfvedsonite,Denmark (Greenland)
Jarlite,Denmark (Greenland)
J?rgensenite,Denmark (Greenland)
Kaersutite,Denmark (Greenland)
Karupm?llerite-Ca,Denmark (Greenland)
Kentbrooksite,Denmark (Greenland)
Kochite,Denmark (Greenland)
Kornerupine,Denmark (Greenland)
Kuannersuite-(Ce),Denmark (Greenland)
Kvanefjeldite,Denmark (Greenland)
Leifite,Denmark (Greenland)
Leucosphenite,Denmark (Greenland)
Aenigmatite,Denmark (Greenland)
Lorenzenite,Denmark (Greenland)
Ashcroftine-(Y),Denmark (Greenland)
Micheelsenite,Denmark (Greenland)
Nabesite,Denmark (Greenland)
Nacareniobsite-(Ce),Denmark (Greenland)
Nakkaalaaqite,Denmark (Greenland)
Narsarsukite,Denmark (Greenland)
Naujakasite,Denmark (Greenland)
Neptunite,Denmark (Greenland)
Nielsenite,Denmark (Greenland)
Okenite,Denmark (Greenland)
Orthojoaquinite-(La),Denmark (Greenland)
Pachnolite,Denmark (Greenland)
Polylithionite,Denmark (Greenland)
Qaqarssukite-(Ce),Denmark (Greenland)
Reyerite,Denmark (Greenland)
Rinkite-(Ce),Denmark (Greenland)
Rohaite,Denmark (Greenland)
R?ntgenite-(Ce),Denmark (Greenland)
Sapphirine,Denmark (Greenland)
Semenovite-(Ce),Denmark (Greenland)
Skaergaardite,Denmark (Greenland)
Skinnerite,Denmark (Greenland)
Sodalite,Denmark (Greenland)
Steenstrupine-(Ce),Denmark (Greenland)
Stenonite,Denmark (Greenland)
Synchysite-(Ce),Denmark (Greenland)
S?rensenite,Denmark (Greenland)
Tainiolite,Denmark (Greenland)
Taseqite,Denmark (Greenland)
Thomsenolite,Denmark (Greenland)
Townendite,Denmark (Greenland)
Tugtupite,Denmark (Greenland)
Tundrite-(Nd),Denmark (Greenland)
Tuperssuatsiaite,Denmark (Greenland)
Ussingite,Denmark (Greenland)
Vikingite,Denmark (Greenland)
Weberite,Denmark (Greenland)
Bohseite,Denmark (Greenland)
Britholite-(Ce),Denmark (Greenland)
Buchwaldite,Denmark (Greenland)
B?ggildite,Denmark (Greenland)
B?gvadite,Denmark (Greenland)
Carlgieseckeite-(Nd),Denmark (Greenland)
Carlsbergite,Denmark (Greenland)
Chalcothallite,Denmark (Greenland)
Allanite-(Ce),Denmark (Greenland)
Phylloretine,Denmark ?
Falcondoite,Dominican Republic
Garutiite,Dominican Republic
Zaccariniite,Dominican Republic
Bahariyaite,Egypt
Chalconatronite,Egypt
Fingerite,El Salvador
Howardevansite,El Salvador
Lyonsite,El Salvador
Mcbirneyite,El Salvador
Bannermanite,El Salvador
Stoiberite,El Salvador
Blossite,El Salvador
Ziesite,El Salvador
Kingstonite,Ethiopia
Nukundamite,Fiji
Cobaltpentlandite,Finland
Eskolaite,Finland
Ferronigerite-6N6S,Finland
Ferrotaaffeite-6N'3S,Finland
Ferrowodginite,Finland
Fluoro-cannilloite,Finland
Haapalaite,Finland
Ixiolite-(Fe2+),Finland
Ixiolite-(Mn2+),Finland
Kaatialaite,Finland
Karelianite,Finland
Kitkaite,Finland
Kullerudite,Finland
Laflammeite,Finland
Laitakarite,Finland
Lokkaite-(Y),Finland
Miessiite,Finland
M?kinenite,Finland
Oxystannomicrolite,Finland
Pampaloite,Finland
Pargasite,Finland
Potassic-pargasite,Finland
P??kk?nenite,Finland
Schwertmannite,Finland
Sederholmite,Finland
Sein?jokite,Finland
Tapiolite-(Fe),Finland
Tapiolite-(Mn),Finland
Tarkianite,Finland
Trüstedtite,Finland
T?rnroosite,Finland
Viitaniemiite,Finland
Vittinkiite,Finland
V?yrynenite,Finland
Wilkmanite,Finland
Chondrodite,Finland
Nickel,France (New Caledonia)
Népouite,France (New Caledonia)
Orcelite,France (New Caledonia)
Erythrite,France / Germany ?
Gobelinite,France / Germany
Weilite,France / Germany
Seelite,France / Iran
Tubulite,France / Italy
Ferroalluaudite,France / USA ?
Chromite,France
Alluaudite,France
Compreignacite,France
Crichtonite,France
Deliensite,France
Deloryite,France
Dervillite,France
Dewitite,France
Direnzoite,France
Dumortierite,France
Duranusite,France
Ferrarisite,France
Ferro-gedrite,France
Ferro-tschermakite,France
Fluckite,France
Anatase,France
Fontanite,France
Forêtite,France
Fougèrite,France
Friedelite,France
Galeaclolusite,France
Gatelite-(Ce),France
Gedrite,France
Geffroyite,France
Geminite,France
Giftgrubeite,France
Gilmarite,France
Giraudite-(Zn),France
Gonnardite,France
Grunerite,France
Guarinoite,France
Heterosite,France
Hureaulite,France
Hydroxyferroroméite,France
Iltisite,France
Jasrouxite,France
Argutite,France
Arseniosiderite,France
Laffittite,France
Laforêtite,France
Lapeyreite,France
Laumontite,France
Leydetite,France
Limousinite,France
Lulzacite,France
Magnesiocarpholite,France
Mahnertite,France
Mazzite-Mg,France
Mcnearite,France
Metalodèvite,France
Meymacite,France
Autunite,France
Montdorite,France
Montebrasite,France
Montmorillonite,France
Morinite,France
Axinite-(Fe),France
M?ssbauerite,France
Nabiasite,France
Azurite,France
Natrodufrénite,France
Afmite,France
Nontronite,France
Offretite,France
Omsite,France
Orthoserpierite,France
Bariopharmacoalumite,France
Perroudite,France
Phaunouxite,France
Pierrotite,France
Barrotite,France
Plombièrite,France
Plumbogummite,France
Pradetite,France
Pushcharovskite,France
Rabejacite,France
Radovanite,France
Rameauite,France
Ranciéite,France
Rauenthalite,France
Rollandite,France
Romanèchite,France
Roquesite,France
Rosièresite,France
Rouaite,France
Routhierite,France
Sainfeldite,France
Sellaite,France
Agrinierite,France
Smamite,France
Berthierine,France
Berthierite,France
Bertrandite,France
Theoparacelsite,France
Thérèsemagnanite,France
Tillmannsite,France
Trimounsite-(Y),France
Triplite,France
Trébeurdenite,France
Valentinite,France
Vanadoandrosite-(Ce),France
Villyaellenite,France
Vinciennite,France
Wallkilldellite-(Fe),France
Yvonite,France
Zden?kite,France
?crinsite,France
Boulangerite,France
B?hmite,France
Camérolaite,France
Capgaronnite,France
Carboirite,France
Chabournéite,France
Chaméanite,France
Chessexite,France
Curienite,Gabon
Francevillite,Gabon
Lenoblite,Gabon
Metavanuralite,Gabon
Mounanaite,Gabon
Bariandite,Gabon
Schubnelite,Gabon
Vanuralite,Gabon
Chervetite,Gabon
Gazeevite,Georgia / Israel
Tvalchrelidzeite,Georgia
Chlorellestadite,Georgia
Actinolite,Germany / Austria
Fluor-schorl,Germany / Italy
Braunite,Germany / Italy
Calcio-olivine,Germany / Russia
Calomel,Germany / Slovenia / Spain / Czech Republic
Cordierite,Germany ?
Christofsch?ferite-(Ce),Germany
Allanpringite,Germany
Claraite,Germany
Clausthalite,Germany
Allophane,Germany
Cobaltkoritnigite,Germany
Cobaltlotharmeyerite,Germany
Cobaltneust?dtelite,Germany
Cobalttsumcorite,Germany
Almarudite,Germany
Corrensite,Germany
Crednerite,Germany
Cualstibite,Germany
Cuboargyrite,Germany
Cuprite,Germany
Aluminite,Germany
Diadochite,Germany
Digenite,Germany
Douglasite,Germany
Dreyerite,Germany
Dufrénite,Germany
Dyscrasite,Germany
Eifelite,Germany
Ekebergite,Germany
Emmerichite,Germany
Emplectite,Germany
Engelhauptite,Germany
Ericaite,Germany
Eskebornite,Germany
Ettringite,Germany
Amblygonite,Germany
Eulytine,Germany
Fabianite,Germany
Falkmanite,Germany
Faujasite-Ca,Germany
Faujasite-Mg,Germany
Faujasite-Na,Germany
Amicite,Germany
Ferri-obertiite,Germany
Ferriallanite-(La),Germany
Ferripyrophyllite,Germany
Ferrofettelite,Germany
Ferroindialite,Germany
Ferrorockbridgeite,Germany
Fettelite,Germany
Fichtelite,Germany
Flurlite,Germany
Fl?rkeite,Germany
Freboldite,Germany
Freieslebenite,Germany
Freitalite,Germany
Freudenbergite,Germany
Friedrichbeckeite,Germany
Gengenbachite,Germany
Anhydrokainite,Germany
Annabergite,Germany
Goethite,Germany
Goslarite,Germany
Gottlobite,Germany
Anorthoroselite,Germany
Greifensteinite,Germany
Guérinite,Germany
Günterblassite,Germany
Hagendorfite,Germany
Haigerachite,Germany
Hallimondite,Germany
Hanauerite,Germany
Hannebachite,Germany
Harmotome,Germany
Hauchecornite,Germany
Hausmannite,Germany
Hechtsbergite,Germany
Heidornite,Germany
Heisenbergite,Germany
Helvine,Germany
Hentschelite,Germany
Herderite,Germany
Heterogenite,Germany
Heteromorphite,Germany
Hielscherite,Germany
Hillesheimite,Germany
Hydronová?ekite,Germany
Hydrowoodwardite,Germany
Hydroxymanganopyrochlore,Germany
Hügelite,Germany
Inesite,Germany
Jahnsite-(CaMnZn),Germany
Jasmundite,Germany
Johanngeorgenstadtite,Germany
Joliotite,Germany
Jordisite,Germany
Jungite,Germany
Jusite,Germany
Kainite,Germany
Kaliborite,Germany
Argyrodite,Germany
Kastningite,Germany
Kayrobertsonite,Germany
Keckite,Germany
Kemmlitzite,Germany
Kenoargentotetrahedrite-(Fe),Germany
Kermesite,Germany
Kieserite,Germany
Kleberite,Germany
Koechlinite,Germany
Koenenite,Germany
Kolbeckite,Germany
Kottenheimite,Germany
Krettnichite,Germany
Kruijenite,Germany
Kummerite,Germany
Arsenocrandallite,Germany
Kuzelite,Germany
K?ttigite,Germany
Laachite,Germany
Lacroixite,Germany
Lagalyite,Germany
Lahnsteinite,Germany
Arsenogorceixite,Germany
Langbeinite,Germany
Arsenogoyazite,Germany
Laueite,Germany
Arsenolamprite,Germany
Lautenthalite,Germany
Lautite,Germany
Arsenolite,Germany
Lehnerite,Germany
Leonite,Germany
Arsenovanmeersscheite,Germany
Liebauite,Germany
Lileyite,Germany
Lithiophorite,Germany
Arsenuranospathite,Germany
Lüneburgite,Germany
Machatschkiite,Germany
Magnesiochromite,Germany
Aerugite,Germany
Manganflurlite,Germany
Mangani-obertiite,Germany
Manganite,Germany
Asselbornite,Germany
Marklite,Germany
Atelestite,Germany
Massicot,Germany
Maucherite,Germany
Medenbachite,Germany
Mellite,Germany
Mendigite,Germany
Messelite,Germany
Metakahlerite,Germany
Metakirchheimerite,Germany
Metanová?ekite,Germany
Metauranocircite,Germany
Metauranospinite,Germany
Metazeunerite,Germany
Mgriite,Germany
Miargyrite,Germany
Michalskiite,Germany
Mimetite,Germany
Minium,Germany
Moschelite,Germany
Moschellandsbergite,Germany
Mückeite,Germany
Axinite-(Mn),Germany
Nacrite,Germany
Natrolite,Germany
Naumannite,Germany
Neust?dtelite,Germany
Niasite,Germany
Nickellotharmeyerite,Germany
Nickelschneebergite,Germany
Nickelskutterudite,Germany
Nickenichite,Germany
Nielsbohrite,Germany
Nollmotzite,Germany
Noonkanbahite,Germany
Nordgauite,Germany
Nosean,Germany
Nová?ekite,Germany
N?ggerathite-(Ce),Germany
Oberwolfachite,Germany
Okruschite,Germany
Omphacite,Germany
Orschallite,Germany
Orthowalpurgite,Germany
Osumilite-(Mg),Germany
Oxyphlogopite,Germany
Paganoite,Germany
Paraschachnerite,Germany
Parascholzite,Germany
Pattersonite,Germany
Paulkellerite,Germany
Agardite-(Ce),Germany
Perrierite-(La),Germany
Bariopharmacosiderite,Germany
Petewilliamsite,Germany
Petitjeanite,Germany
Pharmacolite,Germany
Phosphoferrite,Germany
Phosphofibrite,Germany
Phosphogartrellite,Germany
Phosphophyllite,Germany
Phosphosiderite,Germany
Phurcalite,Germany
Phyllotungstite,Germany
Picropharmacolite,Germany
Pinnoite,Germany
Pitticite,Germany
Plagionite,Germany
Plumboagardite,Germany
Plumosite,Germany
Polydymite,Germany
Prismatine,Germany
Prosopite,Germany
Pseudolaueite,Germany
Pseudomalachite,Germany
Pucherite,Germany
Pyromorphite,Germany
Pyrostilpnite,Germany
Batiferrite,Germany
Rammelsbergite,Germany
Ramsbeckite,Germany
Rankachite,Germany
Rappoldite,Germany
Reichenbachite,Germany
Reinhardbraunsite,Germany
Rhodonite,Germany
Rh?nite,Germany
Richelsdorfite,Germany
Riesite,Germany
Rinneite,Germany
Rokühnite,Germany
Rondorfite,Germany
Ronneburgite,Germany
Roscherite,Germany
Roselite,Germany
Roterb?rite,Germany
R?merite,Germany
R?sslerite,Germany
Safflorite,Germany
Sailaufite,Germany
Samsonite,Germany
Sanderite,Germany
Sanidine,Germany
Schachnerite,Germany
Schapbachite,Germany
Belendorffite,Germany
Schlegelite,Germany
Schlemaite,Germany
Schmidite,Germany
Schneebergite,Germany
Scholzite,Germany
Bellbergite,Germany
Schorl,Germany
Schulenbergite,Germany
Schumacherite,Germany
Sch?ferite,Germany
Schüllerite,Germany
Scorodite,Germany
Sharyginite,Germany
Benauite,Germany
Siegenite,Germany
Simonkolleite,Germany
Spessartine,Germany
Sphaerobismoite,Germany
Spherocobaltite,Germany
Stefanweissite,Germany
Steinmetzite,Germany
Stephanite,Germany
Stibiconite,Germany
Bergenite,Germany
Strengite,Germany
Strontioginorite,Germany
Strunzite,Germany
Struvite,Germany
Str?tlingite,Germany
Sudoite,Germany
Sulfoborite,Germany
Symplesite,Germany
Tachyhydrite,Germany
Betekhtinite,Germany
Ternesite,Germany
Tetrahedrite-(Zn),Germany
Tiemannite,Germany
Betzite,Germany
Tilkerodeite,Germany
Beudantite,Germany
Tischendorfite,Germany
Titanite,Germany
Beyerite,Germany
Triphylite,Germany
Trogtalite,Germany
Tr?gerite,Germany
Tsch?rtnerite,Germany
Bieberite,Germany
Tungstibite,Germany
Ullmannite,Germany
Uranocircite,Germany
Uranosilite,Germany
Uranosphaerite,Germany
Uranospinite,Germany
Uranotungstite,Germany
Vandermeerscheite,Germany
Vanthoffite,Germany
Variscite,Germany
Bischofite,Germany
Vésigniéite,Germany
Bismuth,Germany
Wakefieldite-(La),Germany
Walpurgite,Germany
Wampenite,Germany
Bismutite,Germany
Wattevilleite,Germany
Weilerite,Germany
Bismutoferrite,Germany
Wernerkrauseite,Germany
Bismutostibiconite,Germany
Whiteite-(CaMnMn),Germany
Widenmannite,Germany
Wildenauerite,Germany
Wilhelmgümbelite,Germany
Wilhelmvierlingite,Germany
Wittichenite,Germany
W?lsendorfite,Germany
Wülfingite,Germany
Wüstite,Germany
Xanthiosite,Germany
Xanthoconite,Germany
Zeunerite,Germany
Akaogiite,Germany
Zincoberaunite,Germany
Zinkenite,Germany
Zirklerite,Germany
Zwieselite,Germany
Bolotinaite,Germany
Boracite,Germany
Bornhardtite,Germany
Boyleite,Germany
Brandholzite,Germany
Breithauptite,Germany
Brendelite,Germany
Brenkite,Germany
Brownmillerite,Germany
Bulachite,Germany
Bunsenite,Germany
Calcinaksite,Germany
Calcioferrite,Germany
Camgasite,Germany
Carlhintzeite,Germany
Carminite,Germany
Carnallite,Germany
Chadwickite,Germany
Chalcostibite,Germany
Chaoite,Germany
Chlorargyrite,Germany
Chlormayenite,Germany
Nsutite,Ghana
Drobecite,Greece
Eliopoulosite,Greece
Fiedlerite,Greece
Georgiadesite,Greece
Giorgiosite,Greece
Glaucocerinite,Greece
Glaucophane,Greece
Grammatikopoulosite,Greece
Hilarionite,Greece
Kamarizaite,Greece
Kapellasite,Greece
Katerinopoulosite,Greece
Katsarosite,Greece
Kirkiite,Greece
Ktenasite,Greece
Laurionite,Greece
Lazaridisite,Greece
Arsenotu?ekite,Greece
Lévyclaudite,Greece
Manganiandrosite-(La),Greece
Attikaite,Greece
Mereiterite,Greece
Natroglaucocerinite,Greece
Nealite,Greece
Nickeltsumcorite,Greece
Niedermayrite,Greece
Paralaurionite,Greece
Penfieldite,Greece
Agardite-(La),Greece
Pracha?ite,Greece
Agardite-(Nd),Greece
Serpierite,Greece
Stergiouite,Greece
Theophrastite,Greece
Thorikosite,Greece
Tsikourasite,Greece
Voudourisite,Greece
Zincaluminite,Greece
Zincoh?gbomite-2N2S,Greece
Zincoh?gbomite-2N6S,Greece
Zincolivenite,Greece
Zincowoodwardite,Greece
Brindleyite,Greece
Abswurmbachite,Greece
Odinite,Guinea
Roumaite,Guinea
Serandite,Guinea
Villiaumite,Guinea
Grimaldiite,Guyana
Guyanaite,Guyana
Mcconnellite,Guyana
Potarite,Guyana
Bracewellite,Guyana
Lecontite,Honduras
Whewellite,Hungary ?
Ammoniomagnesiovoltaite,Hungary
Jaszczakite,Hungary
Jonassonite,Hungary
Klajite,Hungary
Kochsándorite,Hungary
Kollerite,Hungary
Parádsasvárite,Hungary
Pilsenite,Hungary
Rudabányaite,Hungary
Chabazite-Mg,Hungary
Brownleeite,IDP (interplanetary dust particle) over USA
Stilbite-Ca,Iceland / Germany / France / Norway
Verneite,Iceland / Italy
Mesolite,Iceland ?
Eldfellite,Iceland
Epistilbite,Iceland
Heklaite,Iceland
Jakobssonite,Iceland
Leonardsenite,Iceland
Oskarssonite,Iceland
Scolecite,Iceland
Tops?eite,Iceland
Feiite,India (meteorite)
Ferromerrillite,India (meteorite)
Heideite,India (meteorite)
Liuite,India (meteorite)
Osbornite,India (meteorite)
Seifertite,India (meteorite)
Tschaunerite,India (meteorite)
Calderite,India (or unknown)
Corundum,India ?
Coulsonite,India
Ferri-ghoseite,India
Ferri-leakeite,India
Ferrihollandite,India
Fluorapophyllite-(K),India
Hollandite,India
Indialite,India
Jaipurite,India
Kolarite,India
Mangani-dellaventuraite,India
Oldhamite,India
Bararite,India
Radhakrishnaite,India
Rayite,India
Winchite,India
Bixbyite-(Mn),India
Cheralite,India
Uytenbogaardtite,Indonesia / Russia / USA
Dozyite,Indonesia
Ferrocarpholite,Indonesia
Laurite,Indonesia
Truscottite,Indonesia
Vincentite,Indonesia
Daliranite,Iran
Ferdowsiite,Iran
Iranite,Iran
Khademite,Iran
Arsenquatrandorite,Iran
Metavoltine,Iran
Barikaite,Iran
Pertlikite,Iran
Pseudowollastonite,Iran
Talmessite,Iran
Trigodomeykite,Iran
Iraqite-(La),Iraq
Baghdadite,Iraq
Qandilite,Iraq
Sinjarite,Iraq
Corkite,Ireland
Gortdrumite,Ireland
Killalaite,Ireland
Nazarovite,Israel / Russia (meteorite)
Devilliersite,Israel
Flamite,Israel
Anastasenkoite,Israel
Fluorkyuygenite,Israel
Gismondine-Sr,Israel
Gmalimite,Israel
Gorerite,Israel
Griffinite,Israel
Gurimite,Israel
Halamishite,Israel
Hanswilkeite,Israel
Hatrurite,Israel
Hexacelsian,Israel
Aradite,Israel
Aravaite,Israel
Kabalovite,Israel
Kahlenbergite,Israel
Ariegilatite,Israel
Khesinite,Israel
Kishonite,Israel
Levantite,Israel
Lisanite,Israel
Magnéliite,Israel
Mariakrite,Israel
Mazorite,Israel
Mizraite-(Ce),Israel
Murashkoite,Israel
Nabateaite,Israel
Nagelschmidtite,Israel
Nataliakulikite,Israel
Negevite,Israel
Oreillyite,Israel
Barioferrite,Israel
Phosphocyclite-(Fe),Israel
Phosphocyclite-(Ni),Israel
Poellmannite,Israel
Polekhovskyite,Israel
Bayerite,Israel
Samraite,Israel
Beershevaite,Israel
Sassite,Israel
Shagamite,Israel
Shasuite,Israel
Shulamitite,Israel
Silicocarnotite,Israel
Bennesherite,Israel
Bentorite,Israel
Stracherite,Israel
Toledoite,Israel
Ye'elimite,Israel
Zadovite,Israel
Ziroite,Israel
Zoharite,Israel
Zuktamrurite,Israel
Carbocalumite,Israel
Carmeltazite,Israel
Ellinaite,Israel/Brazil
Merrillite,Italy (meteorite) / India (meteorite) / Poland (meteorite) / USA (meteorite)
Rubinite,Italy (meteorite) / Mexico (meteorite)
Troilite,Italy (meteorite)
Tetrahedrite-(Hg),Italy / Czech Republic / Slovakia
Fetiasite,Italy / Switzerland
Antigorite,Italy / Switzerland
Bearthite,Italy / Switzerland
Cervandonite-(Ce),Italy / Switzerland
Johannsenite,Italy / USA
Cerchiaraite-(Fe),Italy / USA
Alunite,Italy / Ukraine
Alum-(K),Italy ?
Chukhrovite-(Ca),Italy
Ciprianiite,Italy
Ciriottiite,Italy
Clino-suenoite,Italy
Clinocervantite,Italy
Clinohumite,Italy
Clinometaborite,Italy
Clinosulphur,Italy
Alloriite,Italy
Coquandite,Italy
Coralloite,Italy
Cortesognoite,Italy
Cossaite,Italy
Cotunnite,Italy
Covellite,Italy
Alpeite,Italy
Cryptohalite,Italy
Cuprorivaite,Italy
Cuspidine,Italy
Cyanochroite,Italy
D'ansite-(Fe),Italy
D'ansite-(Mn),Italy
Dachiardite-Ca,Italy
Dachiardite-Na,Italy
Davyne,Italy
Demagistrisite,Italy
Demartinite,Italy
Demicheleite-(Br),Italy
